facility_id,facility_name,country,region,revenue_usd,scope1_mtco2e,scope2_mtco2e,scope3_mtco2e_approx,total_mtco2e,emission_intensity_per_100k,esg_risk_rating,net_zero_target_year
1,Plant_A1,Germany,North America,399337.24,354.9838419769422,10188.2132500554,1.9674095032,10545.164501535543,2640.6664456176295,Critical,2040
2,Plant_A2,Japan,LATAM,327743.94,304.79735612488474,13190.118130689412,0.66719886701,13495.582685681307,4117.721501023423,Critical,2035
3,Plant_A3,Australia,LATAM,341933.53,296.6532967074799,16095.811566768823,1.9674095032,16394.432272979502,4794.625514783385,Critical,2035
4,Plant_A4,Brazil,Africa,364859.66,273.81218825418244,11383.79895471759,1.9674095032,11659.578552474972,3195.6337821711977,Critical,2035
5,Plant_A5,China,LATAM,139410.31,265.22338049630434,12885.177374808529,0.7463656918800001,13151.147120996713,9433.4107147432,Critical,2035
6,Plant_B1,UK,North America,200984.56,318.5349193792611,9666.708152483612,0.7463656918800001,9985.989437554754,4968.535611668257,Critical,2035
7,Plant_B2,India,APAC,563104.25,409.50189960201624,10920.758379399,0.7463656918800001,11331.006644692898,2012.2395887960176,Critical,2040
8,Plant_B3,Japan,Africa,1151588.73,367.22631463088436,13242.279134744647,0.1956423205,13609.701091696032,1181.8195799550792,Critical,2040
9,Plant_B4,USA,Africa,70018.84,304.49504436807376,11806.402347095855,0.05428565897999999,12110.951677122908,17296.704254344844,Critical,2040
10,Plant_B5,Mexico,North America,122932.91,279.5243668014472,13958.073354623752,0.14938230674000003,14237.747103731937,11581.72136633871,Critical,2035
11,Plant_C1,Canada,Africa,577720.53,264.4407642115617,16665.896271082886,0.7463656918800001,16931.08340098633,2930.670198094973,Critical,2030
12,Plant_C2,USA,EU-West,367101.29,291.2908741893147,5385.896257761436,0.7463656918800001,5677.93349764263,1546.69396493884,Critical,2040
13,Plant_C3,Canada,APAC,157597.38,331.14727826694224,9778.379524099677,1.8614555960000003,10111.388257962619,6415.962154930886,Critical,2030
14,Plant_C4,Brazil,North America,6104311.63,311.5171052800851,16680.889304363856,0.05428565897999999,16992.460695302918,278.36817196213354,Critical,2035
15,Plant_C5,Germany,LATAM,220161.32,325.9586982160809,12300.883489425589,1.9674095032,12628.809597144871,5736.161827674758,Critical,2030
16,Plant_D1,USA,EU-West,174063.68,347.323064032337,8345.888034514637,0.05428565897999999,8693.265384205954,4994.3017315306415,Critical,2035
17,Plant_D2,Japan,Africa,424275.81,267.4006972118569,10876.666094838823,0.14938230674000003,11144.21617435742,2626.644251614868,Critical,2035
18,Plant_D3,Mexico,North America,240216.37,289.3880344399701,12479.039935261448,2.38487185718,12770.812841558598,5316.379080059614,Critical,2030
19,Plant_D4,Brazil,LATAM,926339.21,371.47079970820016,11644.833151945295,0.14938230674000003,12016.453333960235,1297.1979599093333,Critical,2035
20,Plant_D5,China,LATAM,471738.66,327.2559071916709,14208.381612843235,1.8614555960000003,14537.498975630906,3081.6848836665004,Critical,2030
21,Plant_E1,USA,North America,320109.39,304.9817541488608,7770.156738254894,0.05428565897999999,8075.192778062735,2522.635396000953,Critical,2040
